iter	Passed	Remaining
0	241	120300
1	450	112236
2	701	116180
3	973	120696
4	1215	120343
5	1442	118782
6	1648	116113
7	1869	114981
8	2082	113621
9	2278	111646
10	2482	110376
11	2685	109224
12	2886	108127
13	3086	107154
14	3297	106630
15	3525	106645
16	3734	106100
17	3926	105146
18	4111	104096
19	4326	103834
20	4555	103900
21	4756	103351
22	4940	102465
23	5134	101839
24	5326	101194
25	5517	100594
26	5702	99901
27	5918	99768
28	6147	99836
29	6348	99453
30	6551	99118
31	6806	99542
32	7002	99101
33	7207	98781
34	7395	98250
35	7596	97910
36	7798	97583
37	7981	97041
38	8174	96625
39	8365	96203
40	8553	95754
41	8738	95290
42	8943	95049
43	9132	94650
44	9319	94234
45	9511	93872
46	9707	93565
47	9896	93187
48	10083	92809
49	10292	92634
50	10489	92352
51	10675	91970
52	10860	91596
53	11047	91247
54	11246	90992
55	11431	90636
56	11613	90259
57	11796	89899
58	12037	89978
59	12222	89630
60	12411	89321
61	12604	89045
62	12793	88742
63	12968	88348
64	13182	88220
65	13372	87933
66	13562	87652
67	13757	87403
68	13944	87104
69	14135	86834
70	14311	86474
71	14539	86427
72	14729	86159
73	14956	86103
74	15141	85802
75	15314	85439
76	15556	85461
77	15741	85163
78	15920	84839
79	16106	84558
80	16292	84277
81	16473	83972
82	16691	83860
83	16918	83788
84	17107	83524
85	17296	83266
86	17514	83143
87	17723	82977
88	17899	82660
89	18117	82537
90	18302	82258
91	18502	82052
92	18724	81944
93	18910	81675
94	19122	81523
95	19316	81289
96	19542	81192
97	19741	80982
98	19927	80715
99	20106	80425
100	20307	80225
101	20506	80016
102	20707	79814
103	20880	79507
104	21060	79226
105	21256	79011
106	21457	78812
107	21635	78528
108	21815	78255
109	22015	78056
110	22205	77817
111	22396	77588
112	22614	77448
113	22813	77246
114	22995	76985
115	23188	76762
116	23377	76525
117	23556	76258
118	23794	76181
119	24000	76002
120	24206	75819
121	24386	75557
122	24567	75301
123	24749	75047
124	24944	74833
125	25148	74645
126	25336	74412
127	25538	74220
128	25726	73988
129	25929	73799
130	26141	73634
131	26339	73431
132	26527	73200
133	26715	72970
134	26908	72751
135	27114	72571
136	27299	72333
137	27478	72081
138	27670	71864
139	27862	71647
140	28050	71419
141	28220	71146
142	28404	70911
143	28591	70683
144	28785	70475
145	28999	70314
146	29185	70084
147	29389	69899
148	29581	69684
149	29772	69470
150	29958	69242
151	30142	69009
152	30326	68778
153	30520	68571
154	30723	68383
155	30942	68231
156	31137	68026
157	31341	67839
158	31530	67621
159	31710	67385
160	31904	67178
161	32116	67009
162	32299	66778
163	32488	66560
164	32703	66397
165	32883	66163
166	33062	65927
167	33250	65708
168	33423	65461
169	33610	65243
170	33801	65033
171	34004	64846
172	34206	64655
173	34401	64452
174	34592	64243
175	34793	64052
176	34985	63842
177	35173	63629
178	35380	63447
179	35568	63233
180	35755	63016
181	35951	62816
182	36139	62602
183	36329	62392
184	36511	62167
185	36714	61980
186	36910	61781
187	37103	61575
188	37283	61350
189	37472	61139
190	37697	60987
191	37892	60786
192	38085	60580
193	38311	60429
194	38507	60229
195	38727	60067
196	38913	59851
197	39107	59649
198	39292	59431
199	39490	59235
200	39674	59018
201	39881	58834
202	40069	58624
203	40253	58406
204	40446	58203
205	40629	57985
206	40846	57816
207	41029	57599
208	41209	57377
209	41388	57155
210	41575	56944
211	41764	56737
212	41939	56510
213	42168	56355
214	42357	56148
215	42531	55921
216	42723	55717
217	42925	55527
218	43147	55362
219	43336	55155
220	43532	54957
221	43715	54743
222	43904	54535
223	44079	54312
224	44303	54148
225	44477	53924
226	44658	53708
227	44833	53485
228	45020	53277
229	45203	53065
230	45381	52846
231	45563	52633
232	45739	52414
233	45920	52199
234	46102	51988
235	46276	51767
236	46449	51544
237	46659	51364
238	46830	51141
239	47028	50947
240	47210	50737
241	47385	50518
242	47562	50302
243	47769	50118
244	47954	49912
245	48182	49749
246	48384	49559
247	48601	49385
248	48840	49233
249	49064	49064
250	49249	48856
251	49430	48645
252	49608	48431
253	49792	48224
254	49964	48004
255	50147	47797
256	50322	47581
257	50491	47359
258	50674	47152
259	50856	46944
260	51035	46733
261	51213	46521
262	51397	46316
263	51590	46118
264	51775	45914
265	51951	45701
266	52163	45520
267	52360	45327
268	52564	45138
269	52771	44953
270	52979	44768
271	53173	44571
272	53396	44399
273	53580	44194
274	53800	44018
275	54005	43830
276	54212	43644
