latitude,longitude
381326N,1222659W
035321N,0973829W
293022N,0952836W
482148N,0000922E
,
253726N,0803426W
385821N,0761928W
038128N,0773515W
040276N,0010504W
041912N,0104749W
413138N,0825212W
057452N,0152287W
,
021512N,1591927W
033535N,0117158W
454259N,0120594W
037378N,1222229W
604647N,1615017W
613454N,1593230W
223642S,0017454E
048510N,0119230W
461917N,0935025W
,
041313N,0081410W
012466S,0155418E
028594N,0811758W
040515N,0964555W
275447N,0824029W
421138N,0711040W
039436N,0764940W
363354N,1194326W
421245N,0832112W
453855N,0121143W
255141N,0805250W
292047N,0981740W
374957N,0972212W
415649N,0108586W
040148N,0822743W
361333N,0955322W
335256N,0117373W
281714N,0081268W
335645N,1181647W
335118N,1172543W
121128S,0073010W
304831N,0891129W
345126N,0973511W
049448N,0001316W
245229N,0811348W
361652N,0804649W
035529N,1174654W
295755N,0081213W
315626N,0111454W
031100N,0873130W
035155N,0811510W
264954N,0080218W
003196N,0812328W
475353N,1221710W
375135N,1124858W
362748N,0080333W
345721N,1192648W
441415N,0069516W
333445N,0011770W
037270N,0012260W
049130N,0122412W
444115N,0123040W
264059N,0080544W
034057N,0118274W
384327N,1204512W
194241N,0155855W
029321N,0098287W
030359N,1042926W
030257N,0095334W
314435N,0084259W
,
422235N,0834734W
403233N,0872515W
425952N,0754713W
271535N,0821715W
264644N,0812556W
294524N,0945042W
003401N,1164644W
342546N,0118452W
331828N,1113919W
361419N,0119835W
382240N,1215742W
395142N,1044023W
038858N,0981913W
374715N,0097732W
362729N,1054020W
049240N,0008420E
383414N,0090922W
393412N,1045057W
481342N,1222156W
391644N,1205859W
412732N,0903043W
,
026820N,0971225W
045352N,0122375W
193720N,1545150W
412712N,0087026W
383414N,0090922W
434011N,0923618W
041338N,0112344W
414728N,0111515W
035926N,1143334W
033210N,1153110W
634616N,0243352W
632458N,0001908W
334454N,0010241W
301124N,0097407W
036222N,0095594W
362818N,0110254W
033495N,1115352W
321443N,1095340W
043744N,0121494W
005536N,0792036W
036658N,1194052W
,
325014N,1055916W
495810N,0024136E
275832N,0823159W
393414N,0007702W
039234N,0844024W
315817N,0861723W
022590S,0043220W
285241N,0815627W
283712N,0080505W
282617N,0811853W
036448N,0011598W
351250N,0805635W
302914N,0089394W
335641N,1172648W
373732N,1185027W
381855N,0076330W
384851N,0106715W
030325N,0095336W
033148N,0964833W
301124N,0097407W
451114N,0109162W
374136N,1214913W
613454N,1593235W
061147N,1512355W
325043N,0096519W
445126N,0093158W
443740N,0931341W
044148N,0881124W
421922N,0885010W
039440N,0773327W
003220N,0096834W
352820N,0097402W
044387N,0683757W
034052N,0008778W
325614N,0844146W
335232N,0084187W
341019N,0833338W
271640N,0080359W
433622N,1104419W
382726N,0012336W
324934N,1165821W
481122N,1142248W
062180N,0153190W
003025N,0009240W
301349N,0964538W
030260N,0101490W
333722N,1115437W
040829N,1113940W
372223N,1182149W
411959N,0083940W
040371N,0741424W
027410N,0822615W
034932N,0085384W
382353N,0772720W
271032N,0080139W
345128N,1021938W
335219N,0084184W
474113N,0013526E
385420N,0078198W
035373N,0106537W
037571N,0107543W
353915N,0105833W
393833N,0784154W
402357N,0743932W
085922N,0644845W
332844S,0703231W
285350N,0082124W
395925N,0753455W
292026N,0982819W
024310N,0812138W
365559N,0812254W
027102N,0080361W
036370N,0011610W
405631N,0741831W
282824N,0822718W
414129N,0933359W
391523N,0893654W
034729N,0775354W
433259N,0905249W
332548N,0865926W
002604N,0801426W
263612N,0821311W
029320N,0805656W
264837N,0803936W
294140N,0821630W
352910N,0845552W
322248N,0884220W
036121N,0813933W
345911N,0804528W
303552N,0843326W
045412N,0924114W
383414N,0090922W
036540N,0121252W
035119N,1104321W
332739N,1114342W
355412N,0892350W
345457N,0815723W
363638N,0834414W
060857N,0164178W
335232N,0084187W
452746N,0069335W
621736N,1532143W
612459N,1493026W
006300N,0015600W
046335N,1165534W
453519N,1223627W
261154N,0801048W
323036N,0083462W
451126N,1083535W
413937N,0963939W
003400N,0091210W
365533N,1112654W
364839N,1113840W
042303N,0090521W
335420N,0945120W
373018N,0771910W
039360N,0010460W
332513N,1124110W
364223N,1053535W
,
341249N,0119539W
027442N,0082280W
424336N,1142723W
461647N,0118732W
037400N,0121184W
384518N,1094517W
322434N,0111136W
030026N,0951849W
,
322648N,0111010W
033169N,1114840W
040529N,1115537W
019260N,0009940W
003949N,0953715W
059370N,1573042W
391920N,0120837W
002941N,0081172W
264054N,0079237W
261148N,0801012W
025310N,0100140W
335935N,0083110W
321428N,0811225W
039225N,0811738W
006380N,0791033W
040190S,0072130W
403823N,0734644W
361825N,1155920W
413255N,1045257W
315958N,1102143W
444429N,0853556W
039100N,0825541W
343927N,1122517W
342034N,0085917W
361320N,0962040W
034929N,0100103W
535425N,1663257W
039413N,0841045W
,
335924N,0834313W
335920N,1172436W
384518N,1094517W
038206N,0814354W
304911N,0831650W
384820N,0104422W
040276N,0010504W
301222N,0942955W
313621N,0902433W
303421N,0972635W
038842N,0009851W
381720N,1042947W
034723N,0845055W
053541N,0166320W
030158N,0825527W
413035N,0741552W
393035N,1071855W
294017N,0095425W
474143N,1014537W
455633N,0116724W
021197N,1575521W
006537N,0146251W
352229N,0861428W
264059N,0080544W
284213N,0813432W
421126N,0711023W
644235N,1624546W
451449N,1224620W
302347N,0084210W
273933N,0080258W
341526N,0117033W
033379N,0114431W
472942N,1224628W
061326N,1494830W
415316N,1055553W
405742N,0804038W
383022N,0863812W
035719N,0095227W
275912N,0008217W
029448N,0081248W
033130N,0087360W
004130N,0118200W
351238N,1135232W
483147N,0121450W
343255N,0089127W
039613N,1043223W
291038N,0095268W
003980N,0009820W
255425N,0801642W
295548N,0895559W
281046N,0814912W
452144N,0068325W
324934N,1165821W
433113N,1121613W
615018N,1472237W
334723N,0082541W
,
,
322159N,0085858W
038150N,1202452W
034521N,1174749W
465131N,1172450W
403032N,1221736W
362438N,0903448W
038387N,1045150W
284216N,0813432W
423956N,0832510W
415643N,0914828W
334128N,1125412W
371522N,1003519W
442347N,0685743W
301933N,0981937W
335322N,1181353W
391448N,0842320W
038323N,0119543W
405535N,0812652W
414728N,0111516W
383539N,0824537W
033741N,1171648W
375142N,1201040W
384411N,0112556W
334118N,0112457W
283630N,0973634W
332653N,1114414W
373514N,0109297W
003749N,0093539W
033425N,1085137W
383920N,0774713W
145128S,0745810W
325737N,1124025W
361519N,1152651W
351056N,1014933W
004370N,0076829W
034229N,0942334W
412858N,1203355W
036328N,0903017W
063730N,0142316W
385830N,0761937W
455257N,1113350W
392035N,0941858W
029384N,0951644W
365420N,0094539W
035392N,0112853W
444459N,1162649W
056570N,0015800W
315040N,0992939W
031180N,0934042W
375631N,0965018W
381833N,0076330W
030566N,0095042W
385338N,1195943W
512153N,0000040E
423415N,0774246W
291612N,0945119W
611046N,0149590W
057450N,1522938W
304725N,0097259W
,
,
,
032853N,1111048W
381342N,0853948W
445255N,0931318W
393120N,1074322W
303158N,0091859W
003904N,0119457W
334751N,0112813W
,
,
038485N,1233150W
475217N,1215943W
315235N,1064131W
394936N,1063636W
,
030319N,0092446W
312231N,0109533W
371316N,1103247W
040512N,0964520W
365336N,1212436W
403633N,1031532W
324723N,1165738W
603154N,1505958W
391326N,0121011W
352520N,0803714W
002800N,0082951W
445319N,0011666W
453947N,1222821W
038310N,0121300W
034430N,0112350W
373334N,0772245W
,
,
295644N,0092849W
057340N,0157130W
024230S,0011510E
012390S,0132530E
404527N,0074045W
444816N,0101957W
031417N,0812524W
302441N,1155154W
035350N,0893513W
032629N,0841122W
423817N,0835932W
394944N,1053616W
372640N,0773554W
423635N,0892215W
403710N,1115934W
048122N,0012052W
041401N,0734227W
040036N,0105252W
404123N,0741028W
331711N,1112855W
324023N,0009765W
324552N,1152449W
373732N,1205715W
472013N,0122612W
033437N,0933919W
474627N,1164910W
055554S,0122112E
314948N,0811745W
003944N,0084123W
424640N,0843512W
443242N,0893149W
253331N,0803054W
332951N,1123039W
291649N,0082729W
301124N,0097407W
292013N,0982816W
003159N,0974111W
035371N,0106522W
055313S,0076749W
213446N,1581150W
261150N,0801014W
033270N,0088350W
422035N,0713032W
415531N,0722725W
325453N,0855746W
371317N,1103249W
039290N,0121540W
030412N,0853435W
004142N,0734227W
323533N,1042520W
044538N,0121125W
435031N,0091956W
284248N,0081165W
273032N,0815229W
345437N,0091559W
343741N,0843135W
352419N,0825043W
291047N,0081329W
,
,
331037N,0864658W
323059N,0845620W
361820N,0882714W
039438N,0814324W
043547N,0009082W
344241N,1101616W
022455N,1584534W
381759N,1223959W
481821N,1203937W
365336N,1212437W
041597N,0097267W
035198N,0092144W
403032N,1221736W
004072N,0104415W
,
037714N,0921840W
421845N,0852749W
424747N,0825828W
385916N,0873528W
343615N,1131022W
462838N,1224822W
033185N,1043150W
,
271542N,0805130W
035566N,0079357W
431433N,1232135W
048172N,1152925W
472857N,1112214W
333416N,0117742W
613417N,0149583W
612459N,1493026W
353241N,0098406W
451049N,0003330E
332618N,1182959W
035254N,0110459W
322113N,0097261W
381324N,0853929W
621914N,0150537W
344959N,0921514W
381052N,0923929W
461730N,0011850W
425428N,1062751W
034500N,0112350W
041018N,1212650W
042574N,1171655W
045501N,1082821W
471829N,0119310W
334843N,1121512W
452420N,0115290W
425659N,0852849W
345356N,1202727W
414640N,0805414W
465810N,1225410W
444245N,0100544W
413610N,0082415W
044382N,0088125W
433316N,0845843W
041260N,0082398W
402220N,0083498W
041445N,0881212W
043549N,0123041W
333137N,1121742W
394458N,0991912W
041290N,0080260W
003565N,1182538W
435531N,1185720W
425251N,0853122W
315534N,1115323W
038832N,0782717W
014339N,0087132W
103611N,0665926W
040150N,0086155W
394532N,0852756W
424555N,0096564W
391448N,0842320W
042940N,1202356W
454824N,1095854W
322434N,0111136W
341550N,1165122W
038616N,1095147W
402959N,1064222W
391936N,0853121W
032739N,0081127W
281714N,0081268W
040514N,0075054W
047831N,1191416W
048937N,0122932W
