Accident.Number,proportion
ERA22LA103,2.2499971875035157e-05
DCA22WA089,2.2499971875035157e-05
DCA22WA167,2.2499971875035157e-05
ERA22LA119,2.2499971875035157e-05
CEN22LA149,2.2499971875035157e-05
WPR22LA143,2.2499971875035157e-05
DCA22WA130,2.2499971875035157e-05
WPR22LA201,2.2499971875035157e-05
DCA22LA135,2.2499971875035157e-05
DCA22WA158,2.2499971875035157e-05
DCA22WA172,2.2499971875035157e-05
GAA22WA241,2.2499971875035157e-05
ERA22FA318,2.2499971875035157e-05
ERA22FA338,2.2499971875035157e-05
CEN22LA346,2.2499971875035157e-05
ERA22LA364,2.2499971875035157e-05
WPR22FA309,2.2499971875035157e-05
ERA22LA379,2.2499971875035157e-05
DCA22LA201,2.2499971875035157e-05
DCA22WA204,2.2499971875035157e-05
CEN22FA424,2.2499971875035157e-05
DCA22WA214,2.2499971875035157e-05
CEN23MA034,2.2499971875035157e-05
WPR23LA041,2.2499971875035157e-05
DCA23WA071,2.2499971875035157e-05
WPR23LA045,2.2499971875035157e-05
ERA23LA093,1.1249985937517579e-05
ERA23LA095,1.1249985937517579e-05
WPR23LA075,1.1249985937517579e-05
WPR23LA076,1.1249985937517579e-05
NYC79AA106,1.1249985937517579e-05
DEN82DTI09,1.1249985937517579e-05
SEA82FA015,1.1249985937517579e-05
LAX82FA038,1.1249985937517579e-05
CHI82FA019,1.1249985937517579e-05
FTW82DA035,1.1249985937517579e-05
MIA82FKA05,1.1249985937517579e-05
LAX82FUM06,1.1249985937517579e-05
LAX82FA036,1.1249985937517579e-05
DCA82AA009,1.1249985937517579e-05
ATL82IA029,1.1249985937517579e-05
FTW82DA037,1.1249985937517579e-05
ATL82DA028,1.1249985937517579e-05
LAX82DA037,1.1249985937517579e-05
ANC82FA012,1.1249985937517579e-05
MKC82DA016,1.1249985937517579e-05
LAX82DA039,1.1249985937517579e-05
DEN82DA015,1.1249985937517579e-05
CHI82DA021,1.1249985937517579e-05
ATL82FLG08,1.1249985937517579e-05
LAX82DVA10,1.1249985937517579e-05
DEN82FA016,1.1249985937517579e-05
ATL82DA031,1.1249985937517579e-05
FTW82FRG20,1.1249985937517579e-05
MIA82FLD14,1.1249985937517579e-05
CHI82FA024,1.1249985937517579e-05
SEA82DA016,1.1249985937517579e-05
NYC82DA019,1.1249985937517579e-05
MKC82DA026,1.1249985937517579e-05
CHI82DA023,1.1249985937517579e-05
CHI82DA022,1.1249985937517579e-05
ATL82DLG09,1.1249985937517579e-05
LAX82DVG13,1.1249985937517579e-05
LAX82DVG12,1.1249985937517579e-05
FTW82DA039,1.1249985937517579e-05
FTW82DA038,1.1249985937517579e-05
LAX82FJA03,1.1249985937517579e-05
DEN82FTE15,1.1249985937517579e-05
MIA82DA032,1.1249985937517579e-05
LAX82DA041,1.1249985937517579e-05
CHI82FA025,1.1249985937517579e-05
ATL82FA032,1.1249985937517579e-05
LAX82FUQ07,1.1249985937517579e-05
LAX82FUG05,1.1249985937517579e-05
ANC82DA013,1.1249985937517579e-05
DEN82FTI10,1.1249985937517579e-05
DEN82FA017,1.1249985937517579e-05
DEN82FTE16,1.1249985937517579e-05
ATL82DKJ09,1.1249985937517579e-05
CHI82IA026,1.1249985937517579e-05
ATL82IA034,1.1249985937517579e-05
ATL82FKQ09,1.1249985937517579e-05
FTW82FPA10,1.1249985937517579e-05
MIA82DA033,1.1249985937517579e-05
DCA82AA011,1.1249985937517579e-05
FTW82FPJ11,1.1249985937517579e-05
FTW82DA040,1.1249985937517579e-05
SEA82DA017,1.1249985937517579e-05
DEN82FA018,1.1249985937517579e-05
NYC82DA022,1.1249985937517579e-05
MIA82DKJ03,1.1249985937517579e-05
SEA82DA019,1.1249985937517579e-05
SEA82DA018,1.1249985937517579e-05
NYC82FA021,1.1249985937517579e-05
CHI82DA027,1.1249985937517579e-05
ANC82DA015,1.1249985937517579e-05
FTW82FA041,1.1249985937517579e-05
NYC82DA023,1.1249985937517579e-05
LAX82FVG14,1.1249985937517579e-05
LAX82FUQ08,1.1249985937517579e-05
LAX82FUJ24,1.1249985937517579e-05
LAX82DA042,1.1249985937517579e-05
FTW82FRG21,1.1249985937517579e-05
DEN82FA020,1.1249985937517579e-05
ATL82FA035,1.1249985937517579e-05
ANC82DA014,1.1249985937517579e-05
DEN82DA019,1.1249985937517579e-05
ANC82DAG15,1.1249985937517579e-05
ATL82DA036,1.1249985937517579e-05
SEA82FYM08,1.1249985937517579e-05
LAX82FA047,1.1249985937517579e-05
ATL82FA039,1.1249985937517579e-05
FTW82DA045,1.1249985937517579e-05
ATL82FA037,1.1249985937517579e-05
MKC82FCQ08,1.1249985937517579e-05
FTW82FPJ12,1.1249985937517579e-05
DEN82FTA09,1.1249985937517579e-05
DCA82AA012B,1.1249985937517579e-05
DCA82AA012A,1.1249985937517579e-05
ATL82IA038,1.1249985937517579e-05
NYC82DA026,1.1249985937517579e-05
NYC82DA024,1.1249985937517579e-05
MKC82DA018,1.1249985937517579e-05
MKC82DA017,1.1249985937517579e-05
LAX82FUJ26,1.1249985937517579e-05
LAX82DA043,1.1249985937517579e-05
FTW82DA042,1.1249985937517579e-05
CHI82DA056,1.1249985937517579e-05
CHI82DA028,1.1249985937517579e-05
MIA82FA034,1.1249985937517579e-05
ANC82DA019,1.1249985937517579e-05
LAX82IA044,1.1249985937517579e-05
LAX82FA048,1.1249985937517579e-05
LAX82FA045,1.1249985937517579e-05
ATL82FKQ10,1.1249985937517579e-05
MIA82FA035,1.1249985937517579e-05
FTW82DA044,1.1249985937517579e-05
DEN82DA021,1.1249985937517579e-05
SEA82FA032,1.1249985937517579e-05
MKC82FA019,1.1249985937517579e-05
MIA82FA037,1.1249985937517579e-05
LAX82FUJ25,1.1249985937517579e-05
LAX82FA050,1.1249985937517579e-05
ATL82FLT02,1.1249985937517579e-05
ATL82FKJ11,1.1249985937517579e-05
ANC82DA016,1.1249985937517579e-05
CHI82DA029,1.1249985937517579e-05
LAX82DA046,1.1249985937517579e-05
LAX82FUQ09,1.1249985937517579e-05
ATL82IA041,1.1249985937517579e-05
LAX82DA060,1.1249985937517579e-05
SEA82DA020,1.1249985937517579e-05
SEA82FYK07,1.1249985937517579e-05
LAX82FA049A,1.1249985937517579e-05
FTW82DA047,1.1249985937517579e-05
DCA82AA013,1.1249985937517579e-05
CHI82FA032,1.1249985937517579e-05
MKC82DA020,1.1249985937517579e-05
MIA82FA038B,1.1249985937517579e-05
MIA82FA038A,1.1249985937517579e-05
LAX82FA049B,1.1249985937517579e-05
FTW82FPD08,1.1249985937517579e-05
DEN82DA022,1.1249985937517579e-05
LAX82DA051,1.1249985937517579e-05
FTW82DA049,1.1249985937517579e-05
FTW82AA046,1.1249985937517579e-05
NYC82FNA10,1.1249985937517579e-05
LAX82DA052,1.1249985937517579e-05
CHI82FEE12,1.1249985937517579e-05
ATL82DA040,1.1249985937517579e-05
ANC82DAG16,1.1249985937517579e-05
ANC82FA017,1.1249985937517579e-05
FTW82FPM09,1.1249985937517579e-05
NYC82DA020,1.1249985937517579e-05
MKC82DA025,1.1249985937517579e-05
MKC82DA021,1.1249985937517579e-05
DEN82DA023,1.1249985937517579e-05
DEN82DA024,1.1249985937517579e-05
LAX82FA061,1.1249985937517579e-05
NYC82DA027,1.1249985937517579e-05
LAX82DA053,1.1249985937517579e-05
DEN82DA031,1.1249985937517579e-05
CHI82DA031,1.1249985937517579e-05
ATL82FID05,1.1249985937517579e-05
LAX82FVM09,1.1249985937517579e-05
SEA82DA021,1.1249985937517579e-05
MKC82DA022,1.1249985937517579e-05
LAX82DA054,1.1249985937517579e-05
FTW82DA048,1.1249985937517579e-05
ATL82DA043,1.1249985937517579e-05
MKC82FA023,1.1249985937517579e-05
ATL82IA042,1.1249985937517579e-05
ATL82FLG10,1.1249985937517579e-05
DEN82DA025,1.1249985937517579e-05
LAX82IA062,1.1249985937517579e-05
LAX82DA055,1.1249985937517579e-05
LAX82FVA11,1.1249985937517579e-05
LAX82DVG15,1.1249985937517579e-05
LAX82DA057,1.1249985937517579e-05
LAX82DA056,1.1249985937517579e-05
FTW82DA050,1.1249985937517579e-05
DEN82DA026,1.1249985937517579e-05
ATL82DA045,1.1249985937517579e-05
ATL82DA044,1.1249985937517579e-05
SEA82DA023,1.1249985937517579e-05
NYC82FFA03,1.1249985937517579e-05
NYC82DA017,1.1249985937517579e-05
MKC82DA024,1.1249985937517579e-05
MIA82DA040,1.1249985937517579e-05
MIA82DA039,1.1249985937517579e-05
LAX82DA058,1.1249985937517579e-05
FTW82DA052,1.1249985937517579e-05
FTW82DA051,1.1249985937517579e-05
DEN82DA027,1.1249985937517579e-05
NYC82AA028,1.1249985937517579e-05
MIA82FLD13,1.1249985937517579e-05
FTW82FRA15,1.1249985937517579e-05
FTW82FQG14,1.1249985937517579e-05
LAX82FVD09,1.1249985937517579e-05
LAX82DA059,1.1249985937517579e-05
FTW82DA053,1.1249985937517579e-05
CHI82DA033,1.1249985937517579e-05
DEN82DA028,1.1249985937517579e-05
NYC82FA029,1.1249985937517579e-05
FTW82FRD08,1.1249985937517579e-05
SEA82DA024,1.1249985937517579e-05
FTW82DA054,1.1249985937517579e-05
DEN82DTM10,1.1249985937517579e-05
LAX82FUJ27,1.1249985937517579e-05
DEN82DA029,1.1249985937517579e-05
DCA82AA014,1.1249985937517579e-05
SEA82DA025,1.1249985937517579e-05
LAX82DVM10,1.1249985937517579e-05
CHI82DA034,1.1249985937517579e-05
NYC82FHD06,1.1249985937517579e-05
MIA82FA042,1.1249985937517579e-05
SEA82DA026,1.1249985937517579e-05
FTW82DA055,1.1249985937517579e-05
MIA82DA050,1.1249985937517579e-05
ATL82FA047,1.1249985937517579e-05
NYC82FNE03,1.1249985937517579e-05
ATL82DA046,1.1249985937517579e-05
SEA82DA028A,1.1249985937517579e-05
MIA82FLD15,1.1249985937517579e-05
LAX82DA065B,1.1249985937517579e-05
SEA82DA028B,1.1249985937517579e-05
MKC82DA027,1.1249985937517579e-05
LAX82DA098,1.1249985937517579e-05
LAX82DA065A,1.1249985937517579e-05
LAX82DA064,1.1249985937517579e-05
CHI82DA039,1.1249985937517579e-05
CHI82DA037,1.1249985937517579e-05
CHI82DA036,1.1249985937517579e-05
CHI82DA035,1.1249985937517579e-05
MIA82FA044B,1.1249985937517579e-05
MIA82FA044A,1.1249985937517579e-05
