Air.carrier,proportion
Pilot,0.01549735703988467
American Airlines,0.005406054781355117
United Airlines,0.005345987506006728
Delta Air Lines,0.0031835655934646804
SOUTHWEST AIRLINES CO,0.0025228255646323884
DELTA AIR LINES INC,0.0022224891878904374
AMERICAN AIRLINES INC,0.0017419509851033157
ON FILE,0.0016218164344065354
Continental Airlines,0.0016218164344065354
"American Airlines, Inc.",0.0015016818837097548
Ryanair,0.0015016818837097548
Private Individual,0.0014416146083613647
Usair,0.0014416146083613647
Southwest Airlines,0.0013815473330129745
"Continental Airlines, Inc.",0.0012614127823161942
UNITED AIR LINES INC,0.001201345506967804
Air Canada,0.0010812109562710235
AIR METHODS CORP,0.0010211436809226333
Delta Airlines,0.0009610764055742432
Private,0.0009610764055742432
CIVIL AIR PATROL INC,0.0009610764055742432
SKYWEST AIRLINES INC,0.0009010091302258529
Unknown,0.0008409418548774628
"Delta Air Lines, Inc.",0.0007808745795290726
Air France,0.0007208073041806823
Simmons Airlines (dba: American Eagle),0.0007208073041806823
US AIRWAYS INC,0.0007208073041806823
British Airways,0.0007208073041806823
Air Methods Corporation,0.0007208073041806823
CIVIL AIR PATROL,0.0006607400288322922
Trans World Airlines,0.0006607400288322922
Northwest Airlines,0.0006607400288322922
(dba: American Airlines),0.000600672753483902
HILLSBORO AVIATION INC,0.000600672753483902
(dba: [ems]),0.000600672753483902
Horizon Air,0.000600672753483902
AIR EVAC EMS INC,0.000600672753483902
Not Provided by Authority,0.000600672753483902
(dba: United Express),0.000600672753483902
"Northwest Airlines, Inc.",0.0005406054781355118
BRISTOW ACADEMY INC,0.0005406054781355118
"Delta Airlines, Inc.",0.0005406054781355118
"America West Airlines, Inc.",0.0005406054781355118
ERA HELICOPTERS LLC,0.0005406054781355118
Eastern Airlines,0.0005406054781355118
PHI INC,0.0005406054781355118
AMERICAN EAGLE AIRLINES INC,0.0005406054781355118
UNITED AIRLINES INC,0.0005406054781355118
America West Airlines,0.0004805382027871216
United Airlines (dba: United Airlines),0.0004805382027871216
Hageland Aviation Services,0.0004805382027871216
GRANT AVIATION INC,0.0004805382027871216
(dba: Penair),0.0004805382027871216
Air Methods,0.0004805382027871216
Upper Limit Aviation,0.0004805382027871216
Individual,0.0004805382027871216
Royal Air Maroc,0.0004204709274387314
IndiGo Air,0.0004204709274387314
Corporate Air,0.0004204709274387314
Piedmont Airlines,0.0004204709274387314
Air Logistics,0.0004204709274387314
American Airlines Inc,0.0004204709274387314
