Injury.Severity,proportion
Non-Fatal,0.7663871474245924
Fatal(1),0.07016805288488889
Fatal,0.059870973614445495
Fatal(2),0.04222371400289001
Incident,0.02524775569183857
Fatal(3),0.013050552401324397
Fatal(4),0.00923892637303872
Fatal(5),0.002673827213872043
Minor,0.002480401415421725
Serious,0.0019683919489355893
Fatal(6),0.001831856091205953
Unavailable,0.00109228686183709
Fatal(7),0.0006371673360716358
Fatal(8),0.000580277395350954
Fatal(10),0.0003640956206123633
Fatal(9),0.00020480378659445438
Fatal(14),0.0001251578695854999
Fatal(11),0.00011377988144136354
Fatal(13),0.00010240189329722719
Fatal(12),9.102390515309083e-05
Fatal(20),5.688994072068177e-05
Fatal(15),5.688994072068177e-05
Fatal(18),5.688994072068177e-05
Fatal(23),4.551195257654541e-05
Fatal(25),4.551195257654541e-05
Fatal(19),3.413396443240906e-05
Fatal(16),3.413396443240906e-05
Fatal(34),3.413396443240906e-05
Fatal(17),3.413396443240906e-05
Fatal(27),2.2755976288272706e-05
Fatal(87),2.2755976288272706e-05
Fatal(104),2.2755976288272706e-05
Fatal(24),2.2755976288272706e-05
Fatal(46),2.2755976288272706e-05
Fatal(92),2.2755976288272706e-05
Fatal(118),2.2755976288272706e-05
Fatal(113),2.2755976288272706e-05
Fatal(65),2.2755976288272706e-05
Fatal(97),2.2755976288272706e-05
Fatal(52),2.2755976288272706e-05
Fatal(75),2.2755976288272706e-05
Fatal(70),2.2755976288272706e-05
Fatal(131),2.2755976288272706e-05
Fatal(82),2.2755976288272706e-05
Fatal(29),2.2755976288272706e-05
Fatal(71),2.2755976288272706e-05
Fatal(154),2.2755976288272706e-05
Fatal(102),2.2755976288272706e-05
Fatal(160),2.2755976288272706e-05
Fatal(349),2.2755976288272706e-05
Fatal(144),1.1377988144136353e-05
Fatal(270),1.1377988144136353e-05
Fatal(43),1.1377988144136353e-05
Fatal(31),1.1377988144136353e-05
Fatal(135),1.1377988144136353e-05
Fatal(256),1.1377988144136353e-05
Fatal(156),1.1377988144136353e-05
Fatal(78),1.1377988144136353e-05
Fatal(153),1.1377988144136353e-05
Fatal(174),1.1377988144136353e-05
Fatal(111),1.1377988144136353e-05
Fatal(30),1.1377988144136353e-05
Fatal(73),1.1377988144136353e-05
Fatal(28),1.1377988144136353e-05
Fatal(110),1.1377988144136353e-05
Fatal(72),1.1377988144136353e-05
Fatal(35),1.1377988144136353e-05
Fatal(33),1.1377988144136353e-05
Fatal(123),1.1377988144136353e-05
Fatal(230),1.1377988144136353e-05
Fatal(68),1.1377988144136353e-05
Fatal(189),1.1377988144136353e-05
Fatal(54),1.1377988144136353e-05
Fatal(132),1.1377988144136353e-05
Fatal(37),1.1377988144136353e-05
Fatal(47),1.1377988144136353e-05
Fatal(56),1.1377988144136353e-05
Fatal(83),1.1377988144136353e-05
Fatal(143),1.1377988144136353e-05
Fatal(60),1.1377988144136353e-05
Fatal(88),1.1377988144136353e-05
Fatal(217),1.1377988144136353e-05
Fatal(169),1.1377988144136353e-05
Fatal(229),1.1377988144136353e-05
Fatal(80),1.1377988144136353e-05
Fatal(125),1.1377988144136353e-05
Fatal(228),1.1377988144136353e-05
Fatal(265),1.1377988144136353e-05
Fatal(206),1.1377988144136353e-05
Fatal(138),1.1377988144136353e-05
Fatal(26),1.1377988144136353e-05
Fatal(64),1.1377988144136353e-05
Fatal(44),1.1377988144136353e-05
Fatal(55),1.1377988144136353e-05
Fatal(141),1.1377988144136353e-05
Fatal(115),1.1377988144136353e-05
Fatal(21),1.1377988144136353e-05
Fatal(117),1.1377988144136353e-05
Fatal(121),1.1377988144136353e-05
Fatal(145),1.1377988144136353e-05
Fatal(45),1.1377988144136353e-05
Fatal(49),1.1377988144136353e-05
Fatal(124),1.1377988144136353e-05
Fatal(107),1.1377988144136353e-05
Fatal(96),1.1377988144136353e-05
Fatal(89),1.1377988144136353e-05
Fatal(199),1.1377988144136353e-05
Fatal(114),1.1377988144136353e-05
Fatal(57),1.1377988144136353e-05
