Location,proportion
"ANCHORAGE, AK",0.0048853518241273345
"MIAMI, FL",0.0022513142046669743
"ALBUQUERQUE, NM",0.002206287920573635
"HOUSTON, TX",0.00217251820750363
"CHICAGO, IL",0.0020712090682936165
"FAIRBANKS, AK",0.0019586433580602676
"TUCSON, AZ",0.0015984330853135518
"ORLANDO, FL",0.001485867375080203
"PHOENIX, AZ",0.001485867375080203
"ENGLEWOOD, CO",0.0014746108040568683
"JACKSONVILLE, FL",0.0013395319517768497
"SAN DIEGO, CA",0.0013395319517768497
"Anchorage, AK",0.0012832490966601753
"CHANDLER, AZ",0.0012494793835901709
"RENO, NV",0.001226966241543501
"ATLANTA, GA",0.001226966241543501
"DENVER, CO",0.0011706833864268266
"SEATTLE, WA",0.0011594268154034918
"LAS VEGAS, NV",0.0011369136733568222
"FORT WORTH, TX",0.0011369136733568222
"LOS ANGELES, CA",0.0011031439602868175
"SAN JOSE, CA",0.0010806308182401477
"TALKEETNA, AK",0.0010806308182401477
"MESA, AZ",0.0010693742472168129
"DAYTONA BEACH, FL",0.001046861105170143
"SAN ANTONIO, TX",0.0010356045341468082
"Denver, CO",0.0010356045341468082
"Phoenix, AZ",0.0010356045341468082
"FORT LAUDERDALE, FL",0.0009905782500534688
"KENAI, AK",0.0009793216790301338
"WASILLA, AK",0.0009793216790301338
"VAN NUYS, CA",0.0009793216790301338
"OSHKOSH, WI",0.0009793216790301338
"PALMER, AK",0.000968065108006799
"LAKELAND, FL",0.0009568085369834641
"TAMPA, FL",0.0009455519659601293
"COLUMBUS, OH",0.0009117822528901246
"TULSA, OK",0.0009117822528901246
ATLANTIC OCEAN,0.0009117822528901246
"Atlanta, GA",0.0009005256818667897
"PRESCOTT, AZ",0.0009005256818667897
"LONG BEACH, CA",0.0009005256818667897
"CORONA, CA",0.00087801253982012
"INDIANAPOLIS, IN",0.00087801253982012
"BROOMFIELD, CO",0.00087801253982012
"Houston, TX",0.00087801253982012
"SALT LAKE CITY, UT",0.00087801253982012
"Palmer, AK",0.0008667559687967852
"SKWENTNA, AK",0.0008554993977734503
"Talkeetna, AK",0.0008442428267501153
"Miami, FL",0.0008442428267501153
"Las Vegas, NV",0.0008217296847034456
"Chicago, IL",0.0008104731136801107
"Fairbanks, AK",0.0008104731136801107
"EL PASO, TX",0.0007992165426567759
"CHINO, CA",0.0007992165426567759
"Albuquerque, NM",0.0007767034006101062
"VERO BEACH, FL",0.0007767034006101062
"Reno, NV",0.0007654468295867713
"JUNEAU, AK",0.0007654468295867713
"SCOTTSDALE, AZ",0.0007429336875401015
"DURANGO, CO",0.0007316771165167666
"BAKERSFIELD, CA",0.0007091639744700969
"TRUCKEE, CA",0.0007091639744700969
"CHUGIAK, AK",0.0007091639744700969
"DETROIT, MI",0.0007091639744700969
"FRESNO, CA",0.0007091639744700969
"MINNEAPOLIS, MN",0.000697907403446762
"KING SALMON, AK",0.000697907403446762
"SEDONA, AZ",0.0006866508324234272
"FLAGSTAFF, AZ",0.0006866508324234272
"BETHEL, AK",0.0006866508324234272
"MEMPHIS, TN",0.0006866508324234272
"KANSAS CITY, MO",0.0006866508324234272
"LIVERMORE, CA",0.0006753942614000923
"NASHVILLE, TN",0.0006641376903767575
"RAMONA, CA",0.0006641376903767575
