Make,proportion
Cessna,0.25023078828271
Piper,0.13542206110823407
CESSNA,0.05541170378042465
Beech,0.04874698849435976
PIPER,0.03198387859410533
Bell,0.024024497331862293
Boeing,0.01794519622633013
BOEING,0.012957917726791704
Grumman,0.012316213721207754
Mooney,0.012293697791187264
BEECH,0.011730799540675027
Robinson,0.010650034899691532
Bellanca,0.009974556999076846
Hughes,0.008950082183144574
Schweizer,0.007081259991443946
Air Tractor,0.006698489181095625
BELL,0.006619683426023912
Mcdonnell Douglas,0.005921689595388737
Aeronca,0.005482628959989192
Maule,0.005009794429558913
Champion,0.004818409024384752
De Havilland,0.004300542633913494
Aero Commander,0.004052867403688109
Stinson,0.003917771823565172
Aerospatiale,0.003850224033503704
Rockwell,0.0037263864183910114
Taylorcraft,0.003613806768288564
Luscombe,0.0035912908382680748
Hiller,0.0035012271181861167
North American,0.0034224213631144033
ROBINSON,0.0031972620629095085
Douglas,0.0028707810776124106
AIRBUS,0.0028257492175714316
Enstrom,0.002780717357530453
MOONEY,0.002724427532479229
Grumman American,0.0025217841622948234
ROBINSON HELICOPTER,0.0024880102672640895
CIRRUS DESIGN CORP,0.002454236372233355
AIR TRACTOR INC,0.0024429784072231104
Ayres,0.0024204624772026207
ROBINSON HELICOPTER COMPANY,0.00201517573683381
BELLANCA,0.001790016436628915
Ercoupe (eng & Research Corp.),0.0017562425415981807
Sikorsky,0.0017562425415981807
Swearingen,0.001699952716546957
AERONCA,0.0016774367865264675
SCHWEIZER,0.0016211469614752438
MAULE,0.0016211469614752438
Airbus Industrie,0.0015986310314547543
Pitts,0.0015873730664445094
Balloon Works,0.00156485713642402
HUGHES,0.0015423412064035306
Lake,0.0015310832413932857
Fairchild,0.0015085673113727962
EMBRAER,0.0014635354513318172
Mitsubishi,0.0014522774863215725
EUROCOPTER,0.0014410195213113279
Grumman-schweizer,0.0013622137662396144
Waco,0.0013284398712088803
Let,0.0012608920811474117
Lockheed,0.0012608920811474117
Aviat,0.0012608920811474117
Learjet,0.001249634116137167
Burkhart Grob,0.0012383761511269222
Embraer,0.0012158602211064329
Schleicher,0.0011370544660347195
AIR TRACTOR,0.0010807646409834958
LUSCOMBE,0.0010695066759732511
Helio,0.0010582487109630063
Ryan,0.0010582487109630063
Eurocopter,0.0010357327809425167
DEHAVILLAND,0.001024474815932272
STINSON,0.001024474815932272
CHAMPION,0.001024474815932272
Aerostar,0.000979442955891293
Weatherly,0.000979442955891293
Raven,0.0009681849908810483
British Aerospace,0.0009569270258708035
Globe,0.0009118951658298246
CIRRUS,0.0009006372008195799
NORTH AMERICAN,0.0008893792358093351
GRUMMAN,0.0008781212707990903
MCDONNELL DOUGLAS,0.0008781212707990903
Wsk Pzl Mielec,0.0008668633057888456
SIKORSKY,0.0008668633057888456
DIAMOND AIRCRAFT IND INC,0.0008330894107581114
AVIAT AIRCRAFT INC,0.0008105734807376219
Vans,0.0008105734807376219
Cirrus Design Corp.,0.0007993155157273771
Schempp-hirth,0.0007993155157273771
Mbb,0.0007880575507171324
Cirrus,0.0007880575507171324
AERO COMMANDER,0.0007767995857068876
BOMBARDIER INC,0.0007655416206966429
Gates Learjet,0.0007317677256659086
Gulfstream,0.0007092517956454192
Socata,0.0007092517956454192
SOCATA,0.0007092517956454192
Navion,0.0007092517956454192
TAYLORCRAFT,0.0006979938306351744
Canadair,0.0006979938306351744
American,0.0006867358656249296
Fokker,0.0006529619705941954
GRUMMAN ACFT ENG COR-SCHWEIZER,0.0006529619705941954
VANS,0.0006417040055839506
Gulfstream American,0.0006304460405737059
Rotorway,0.0006304460405737059
Cameron,0.0006191880755634611
Ercoupe,0.0006079301105532164
Christen Industries,0.0006079301105532164
RAYTHEON AIRCRAFT COMPANY,0.0005966721455429717
ROCKWELL INTERNATIONAL,0.0005966721455429717
"Smith, Ted Aerostar",0.0005741562155224822
Boeing Stearman,0.0005741562155224822
Great Lakes,0.0005741562155224822
RANS,0.0005628982505122374
GRUMMAN AMERICAN AVN. CORP.,0.0005516402855019926
ENSTROM,0.0005516402855019926
BOMBARDIER,0.0005291243554815031
AEROSPATIALE,0.0005178663904712584
AMERICAN CHAMPION AIRCRAFT,0.0005178663904712584
SCHLEICHER,0.0005066084254610136
Agusta,0.000495350460450769
Saab-scania Ab (saab),0.00048409249544052415
Eipper,0.00048409249544052415
Diamond Aircraft Industries,0.00048409249544052415
FLIGHT DESIGN GMBH,0.00047283453043027945
Eagle Aircraft Co.,0.00047283453043027945
Airbus,0.00045031860040978993
Smith,0.00045031860040978993
Eurocopter France,0.00045031860040978993
Brantly Helicopter,0.00043906063539954517
Convair,0.00043906063539954517
Aerotek,0.00043906063539954517
Pilatus,0.0004278026703893004
AYRES CORPORATION,0.0004278026703893004
Britten-norman,0.0004165447053790557
ZENITH,0.0004165447053790557
HILLER,0.0004165447053790557
Rolladen-schneider,0.0004165447053790557
QUICKSILVER,0.00040528674036881095
Short Brothers,0.0003940287753585662
Kaman,0.0003940287753585662
Fairchild Hiller,0.0003940287753585662
MD HELICOPTER,0.0003940287753585662
ERCOUPE,0.00038277081034832143
Yakovlev,0.00038277081034832143
MOONEY AIRCRAFT CORP.,0.00038277081034832143
Lancair,0.00037151284533807667
Snow,0.00036025488032783196
Quickie,0.00036025488032783196
MCDONNELL DOUGLAS HELICOPTER,0.0003489969153175872
DE HAVILLAND,0.0003489969153175872
COSTRUZIONI AERONAUTICHE TECNA,0.0003489969153175872
Homebuilt,0.00033773895030734245
Texas Helicopter,0.00033773895030734245
Bombardier,0.00033773895030734245
DIAMOND,0.00033773895030734245
Alon,0.00033773895030734245
American Champion (acac),0.0003264809852970977
SWEARINGEN,0.0003264809852970977
Continental Copters,0.0003264809852970977
Quicksilver,0.0003264809852970977
I.c.a. Brasov,0.00031522302028685293
AVIAT,0.00031522302028685293
Republic,0.00031522302028685293
Israel Aircraft Industries,0.00031522302028685293
Hawker Siddeley,0.00031522302028685293
Zenair,0.0003039650552766082
PIPER AIRCRAFT INC,0.0003039650552766082
FAIRCHILD,0.0003039650552766082
Callair,0.00029270709026636346
Glasflugel,0.00029270709026636346
EVEKTOR-AEROTECHNIK AS,0.00029270709026636346
DOUGLAS,0.00029270709026636346
Dornier,0.0002814491252561187
Siai-marchetti,0.0002814491252561187
WACO,0.0002814491252561187
Beechcraft,0.0002814491252561187
LEARJET,0.0002814491252561187
Consolidated Aeronautics Inc.,0.0002814491252561187
Rans,0.00027019116024587395
GULFSTREAM,0.00027019116024587395
CESSNA AIRCRAFT CO,0.00027019116024587395
Varga,0.00027019116024587395
Vans Aircraft,0.00027019116024587395
ROCKWELL,0.00027019116024587395
LET,0.00027019116024587395
Dassault,0.0002589331952356292
Stearman,0.0002589331952356292
Gulfstream-schweizer,0.0002589331952356292
BELL HELICOPTER TEXTRON CANADA,0.0002589331952356292
AYRES,0.0002589331952356292
Thunder And Colt,0.0002589331952356292
"Bombardier, Inc.",0.0002589331952356292
Adams,0.0002589331952356292
Garlick,0.0002476752302253845
Pzl-mielec,0.0002476752302253845
Barnes,0.0002476752302253845
Rockwell International,0.0002476752302253845
PILATUS,0.0002476752302253845
ROBINSON HELICOPTER CO,0.0002476752302253845
AIRBUS INDUSTRIE,0.0002476752302253845
BAE,0.00023641726521513972
AGUSTA,0.00023641726521513972
Cameron Balloons,0.00023641726521513972
Temco,0.00023641726521513972
BELL HELICOPTER TEXTRON,0.00023641726521513972
Unknown,0.00023641726521513972
Flight Design,0.00022515930020489496
Glasair,0.00022515930020489496
Extra Flugzeugbau,0.00022515930020489496
Casa,0.00022515930020489496
Johnson,0.00022515930020489496
American Aviation Corp. (aac),0.00022515930020489496
EUROCOPTER DEUTSCHLAND GMBH,0.00022515930020489496
SMITH,0.00022515930020489496
CUB CRAFTERS INC,0.0002139013351946502
Glaser-dirks,0.0002139013351946502
CUBCRAFTERS INC,0.0002139013351946502
HELIO,0.0002139013351946502
ATR,0.0002139013351946502
LANCAIR,0.0002139013351946502
Diamond,0.0002139013351946502
Davis,0.0002139013351946502
Benson,0.00020264337018440547
Curtiss-wright,0.00020264337018440547
Gulfstream Aerospace,0.00020264337018440547
SCHWEIZER AIRCRAFT CORP,0.00020264337018440547
Eiriavion Oy,0.00019138540517416071
SCHEMPP-HIRTH,0.00019138540517416071
Cub Crafters,0.00019138540517416071
Classic Aircraft Corp.,0.00019138540517416071
AMERICAN LEGEND AIRCRAFT CO,0.00019138540517416071
GLOBE,0.00019138540517416071
Interstate,0.00019138540517416071
Air Command,0.00019138540517416071
Forney,0.00019138540517416071
Bensen,0.00019138540517416071
Kolb Company,0.00019138540517416071
Raytheon,0.00019138540517416071
Dassault-breguet,0.00019138540517416071
Raytheon Aircraft Company,0.00019138540517416071
Artic Aircraft Corp.,0.00019138540517416071
Miller,0.00019138540517416071
Rutan,0.00018012744016391598
Atr,0.00018012744016391598
SAAB,0.00018012744016391598
Sukhoi,0.00018012744016391598
Raytheon Corporate Jets,0.00018012744016391598
MITSUBISHI,0.00018012744016391598
American General Aircraft,0.00018012744016391598
NAVION,0.00018012744016391598
RYAN,0.00018012744016391598
CHRISTEN INDUSTRIES INC,0.00018012744016391598
Kitfox,0.00016886947515367122
GREAT LAKES,0.00016886947515367122
Rotec,0.00016886947515367122
RAYTHEON,0.00016886947515367122
American Aviation,0.00016886947515367122
Consolidated-vultee,0.00016886947515367122
Robinson Helicopter Company,0.00016886947515367122
Pitts Special,0.00016886947515367122
ENGINEERING & RESEARCH,0.00016886947515367122
Culver,0.00016886947515367122
Thorp,0.00016886947515367122
Howard Aircraft Corp.,0.00015761151014342646
LAKE,0.00015761151014342646
SILVAIRE,0.00015761151014342646
Commander,0.00015761151014342646
AIRBORNE,0.00015761151014342646
Pterodactyl,0.00015761151014342646
Pipistrel,0.00015761151014342646
AMERICAN,0.00015761151014342646
Jones,0.00015761151014342646
COLUMBIA AIRCRAFT MFG,0.00014635354513318173
PITTS,0.00014635354513318173
QUAD CITY,0.00014635354513318173
BRANTLY,0.00014635354513318173
