Model,proportion
152,0.02665630595628231
172,0.019775442864060723
172N,0.013108550964559613
PA-28-140,0.010495850085025396
150,0.009335900987645978
172M,0.008986790094259942
172P,0.0077592711465477434
182,0.007421421894883836
180,0.007004741151165017
150M,0.006588060407446197
PA-18,0.006543013840557677
PA-18-150,0.006509228915391286
PA-28-180,0.006441659065058504
PA-28-161,0.0064078741398921136
PA-28-181,0.005991193396173294
206B,0.005901100262396252
737,0.005506942802121694
PA-38-112,0.005281709967679089
150L,0.005191616833902046
G-164A,0.005180355192179916
A36,0.005067738774958613
G-164B,0.004729889523294706
140,0.004527179972296362
206,0.004392040271630798
170B,0.004380778629908668
172S,0.004200592362354584
R44,0.004065452661689021
182P,0.00400914445307837
PA-32-300,0.00400914445307837
PA-24-250,0.003964097886189849
269C,0.003840219827246416
PA-28R-200,0.0037726499769136345
PA-12,0.003648771917970202
A188B,0.0035812020676374203
PA-23-250,0.0035023705755825086
177,0.0033334459497505547
7AC,0.0033221843080284245
SR22,0.0032433528159735124
M20J,0.0032320911742513823
185,0.003220829532529252
A185F,0.003209567890807122
PA-22-150,0.0031645213239186007
PA-31-350,0.0031532596821964706
7GCBC,0.0031419980404743405
PA28,0.0031419980404743405
R22,0.003074428190141559
7ECA,0.0030068583398087773
182Q,0.002995596698086647
150F,0.0029730734146423865
PA-25-235,0.0029392884894759957
210,0.0029280268477538656
369D,0.0028379337139768234
58,0.0028379337139768234
172RG,0.002770363863644042
T210N,0.0027591022219219117
150H,0.0027591022219219117
150G,0.002725317296755521
177RG,0.0026577474464227397
PA-32-260,0.002590177596089958
J3C-65,0.0025676543126456975
150J,0.002545131029201437
172K,0.002500084462312916
PA-30,0.002466299537146525
PA-34-200T,0.002409991328535874
M20C,0.0023987296868137435
8A,0.0023424214782030925
182A,0.002274851627870311
PA-22,0.00224106670270392
C23,0.0021622352106490084
208B,0.0021622352106490084
S2R,0.0021284502854826176
P210N,0.0021284502854826176
R22 BETA,0.002105927002038357
T210M,0.002094665360316227
AT-301,0.0020721420768719666
PA-32R-300,0.002049618793427706
R44 II,0.002049618793427706
207,0.002004572226539185
PA-28-151,0.0019933105848170545
PA-28-235,0.0019707873013727942
T210L,0.0019707873013727942
172H,0.0019595256596506637
35,0.001925740734484273
172R,0.0019144790927621428
206L-1,0.0018919558093178823
M20K,0.0018581708841514915
8KCAB,0.0018469092424293614
120,0.0018469092424293614
UH-12E,0.001835647600707231
170,0.001824385958985101
M20F,0.0018131243172629706
177B,0.0018018626755408403
175,0.0017793393920965798
V35B,0.0017680777503744495
S-2R,0.0017230311834859286
172L,0.0017230311834859286
M20E,0.0017117695417637982
PA-28,0.0017005079000416681
8GCBC,0.0017005079000416681
DHC-2,0.0016329380497088865
170A,0.0015878914828203656
407,0.0015766298410982353
172G,0.0015315832742097144
210L,0.0015090599907654537
R-22,0.0014865367073211933
AA-5B,0.0014865367073211933
421C,0.001475275065599063
17-30A,0.001475275065599063
402B,0.001475275065599063
PA-20,0.0014640134238769328
172F,0.0014527517821548025
7KCAB,0.001430228498710542
R182,0.0014189668569884117
415-C,0.0014077052152662816
BC12-D,0.001385181931822021
A75N1,0.0013739202900998908
310R,0.0013401353649335
PA-24-260,0.0013401353649335
95-B55,0.0013288737232113699
340A,0.0013176120814892395
U206G,0.001295088798044979
F33A,0.0012838271563228487
PA-28R-180,0.0012613038728785883
188,0.0012613038728785883
PA-34-200,0.001250042231156458
TR182,0.001250042231156458
G-164,0.0012387805894343278
269A,0.0012275189477121975
AA-5A,0.0012162573059900672
150K,0.0012162573059900672
402C,0.001204995664267937
T188C,0.0011937340225458067
185F,0.0011824723808236766
23,0.0011712107391015462
421B,0.0011712107391015462
47G,0.001159949097379416
208,0.001159949097379416
172E,0.0011486874556572858
PA-44-180,0.0011486874556572858
369E,0.0011374258139351555
108,0.0011374258139351555
RV-4,0.0011261641722130251
108-3,0.0011261641722130251
182R,0.0011261641722130251
SR20,0.001114902530490895
U206,0.001114902530490895
PA-24-180,0.0011036408887687647
195,0.0011036408887687647
R172K,0.0011036408887687647
180H,0.0010811176053245042
PA-22-160,0.0010811176053245042
206L-3,0.0010811176053245042
7GCAA,0.0010698559636023739
188B,0.0010698559636023739
777,0.0010698559636023739
A320,0.0010698559636023739
310,0.0010585943218802438
414,0.0010585943218802438
PA-22-108,0.0010473326801581134
KR-2,0.0010473326801581134
340,0.0010360710384359833
200,0.0010360710384359833
369HS,0.0010360710384359833
PA18,0.001024809396713853
305A,0.001024809396713853
108-1,0.001024809396713853
182B,0.0010135477549917226
PA-32R-301T,0.0010135477549917226
47G-2,0.0010022861132695925
GC-1B,0.0009910244715474622
207A,0.0009910244715474622
108-2,0.0009797628298253318
180K,0.0009685011881032017
R22 Beta,0.0009685011881032017
