Purpose.of.flight,proportion
Personal,0.5979418842279648
Instructional,0.12819086544856526
Unknown,0.08225207685889452
Aerial Application,0.05697909234917833
Business,0.04858701041150223
Positioning,0.01990398684353725
Other Work Use,0.015284714076689602
Ferry,0.00981897771382275
Aerial Observation,0.009601315646274956
Public Aircraft,0.0087064827019118
Executive/corporate,0.006687062408551701
Flight Test,0.004897396519825387
Skydiving,0.0022008053496499268
External Load,0.001487357461576599
Public Aircraft - Federal,0.0012696953940288039
Banner Tow,0.0012213260456848496
Air Race show,0.0011971413715128722
Public Aircraft - Local,0.000894832944363157
Public Aircraft - State,0.000773909573503271
Air Race/show,0.000713447888073328
Glider Tow,0.0006408938655573963
Firefighting,0.00048369348343954436
Air Drop,0.0001330157079458747
ASHO,7.255402251593165e-05
PUBS,4.8369348343954434e-05
PUBL,1.2092337085988609e-05
